code,field,en,pt,pack_file
07152,name,Keen Eye,Olhar Afiado,/data/source/def.json
07152,text,"[free] Spend 2 resources: You get +1 [intellect] until the end of the phase.
[free] Spend 2 resources: You get +1 [combat] until the end of the phase.","[free] Gaste 2 recursos: Você recebe +1 [intellect] até o final da fase.
[free] Gaste 2 recursos: Você recebe +1 [combat] até o final da fase.",/data/source/def.json
07152,traits,Talent.,Talento.,/data/source/def.json
07153,name,Radiant Smite,Golpe Radiante,/data/source/def.json
07153,text,"<b>Fight.</b> You may use [willpower] instead of [combat] for this attack. When you initiate this attack, search the chaos bag for up to 3 [bless] tokens, and seal them here. For each [bless] token sealed on Radiant Smite, you get +1 skill value and deal +1 damage for this attack. If this attack defeats the attacked enemy, return the sealed tokens to the token pool. Otherwise, release them.","<b>Lutar.</b> Você pode usar [willpower] em vez de [combat] para este ataque. Quando você iniciar este ataque, procure no Saco do Caos por até 3 fichas [bless] e sele-as aqui. Para cada ficha [bless] selada em Radiant Smite, você recebe +1 valor de perícia e causa +1 de dano neste ataque. Se este ataque derrotar o inimigo atacado, devolva as fichas seladas à reserva de fichas. Caso contrário, libere-as.",/data/source/def.json
07153,traits,Spell. Spirit. Blessed.,Feitiço. Espírito. Abençoado.,/data/source/def.json
07154,name,The Truth Beckons,A Verdade Chama,/data/source/def.json
07154,text,"Play only if you are not engaged with an enemy.
<b>Move.</b> Choose an unrevealed location. Move (one location at a time) along the shortest path toward that location, until you enter that location. End this effect if you reveal a location, if an enemy engages you, or if your movement is blocked.","Jogue apenas se você não estiver engajado com um inimigo.
<b>Mover-se.</b> Escolha uma Localidade não revelada. Mova-se (uma Localidade por vez) pelo caminho mais curto em direção àquela Localidade, até que você entre naquela Localidade. Encerre este efeito se você revelar uma Localidade, se um inimigo engajar você ou se seu movimento for bloqueado.",/data/source/def.json
07154,traits,Insight.,Perspicácia.,/data/source/def.json
07155,name,Gaze of Ouraxsh,Olhar de Ouraxsh,/data/source/def.json
07155,text,"Reveal 7 random chaos tokens from the chaos bag. Deal a total of 1 damage plus 1 additional damage for each [curse] or [auto_fail] token revealed, divided as you choose among enemies at your location. This action does not provoke attacks of opportunity.","Revele 7 Fichas de Caos aleatórias do Saco do Caos. Cause um total de 1 de dano mais 1 de dano adicional para cada Ficha de Caos [curse] ou [auto_fail] revelada, dividido como você desejar entre os Inimigos na sua Localidade. Esta ação não provoca ataques de oportunidade.",/data/source/def.json
07155,traits,Spell. Cursed.,Feitiço. Amaldiçoado.,/data/source/def.json
07156,name,Priest of Two Faiths,Sacerdote de Duas Fés,/data/source/def.json
07156,text,"[reaction] After Priest of Two Faiths enters play: Add 3 [bless] tokens to the chaos bag.
<b>Forced</b> - At the end of the upkeep phase: You must either add 1 [curse] token to the chaos bag or discard Priest of Two Faiths.","[reaction] Após o Sacerdote de Duas Fés entrar em jogo: Adicione 3 fichas [bless] ao Saco do Caos.
<b>Forçado</b> - No final da fase de manutenção: Você deve ou adicionar 1 ficha [curse] ao Saco do Caos, ou descartar o Sacerdote de Duas Fés.",/data/source/def.json
07156,traits,Ally. Blessed. Cursed.,Aliado. Abençoado. Amaldiçoado.,/data/source/def.json
07157,name,Under Surveillance,Sob Vigilância,/data/source/def.json
07157,text,"Attach to your location. Limit 1 per location.
<b>Forced</b> - After a non-[[Elite]] enemy enters attached location, discard Under Surveillance: Automatically evade that enemy and discover 1 clue at attached location. That enemy does not ready during the next upkeep phase.","Vincule à sua Localidade. Limitado a 1 por Localidade.
<b>Forçado</b> - Após um Inimigo que não seja [[Elite]] entrar na Localidade vinculada, descarte Under Surveillance: evite automaticamente aquele Inimigo e descubra 1 Pista na Localidade vinculada. Aquele Inimigo não fica Pronto durante a próxima fase de Manutenção.",/data/source/def.json
07157,traits,Tactic. Trap.,Tática. Armadilha.,/data/source/def.json
07158,name,Blood Pact,Pacto de Sangue,/data/source/def.json
07158,text,"[free] Add 1 doom to Blood Pact: You get +2 [willpower] for this skill test. (Limit once per test.)
[free] Add 1 doom to Blood Pact: You get +2 [combat] for this skill test. (Limit once per test.)","[free] Adicione 1 Perdição ao Pacto de Sangue: Você recebe +2 [willpower] neste Teste de Perícia. (Limitado a uma vez por teste.)
[free] Adicione 1 Perdição ao Pacto de Sangue: Você recebe +2 [combat] neste Teste de Perícia. (Limitado a uma vez por teste.)",/data/source/def.json
07158,traits,Spell. Pact.,Feitiço. Pacto.,/data/source/def.json
07159,name,Abyssal Tome,Tomo Abissal,/data/source/def.json
07159,text,"[action] Exhaust Abyssal Tome: <b>Fight.</b> You may use either [intellect] or [willpower] for this attack, instead of [combat]. When you initiate this attack, you may place 1 doom on Abyssal Tome (to a maximum of 3). You get +1 skill value and deal +1 damage for this attack for each doom on Abyssal Tome.","[action] Exaurir Abyssal Tome: <b>Lutar.</b> Você pode usar [intellect] ou [willpower] para este ataque, em vez de [combat]. Quando você iniciar este ataque, você pode colocar 1 Perdição sobre Abyssal Tome (até um máximo de 3). Você recebe +1 ao valor de perícia e causa +1 de dano neste ataque para cada Perdição sobre Abyssal Tome.",/data/source/def.json
07159,traits,Item. Tome.,Item. Tomo.,/data/source/def.json
07160,name,Butterfly Effect,Efeito Borboleta,/data/source/def.json
07160,text,"Fast. Play when a chaos token with a symbol is revealed during a skill test at your location <i>(before resolving its effects)</i>.
You or the performing investigator may either commit a card to this skill test, or return a card they committed to this test to their hand.","Rápido. Jogue quando uma Ficha de Caos com um símbolo for revelada durante um Teste de Perícia na sua Localidade <i>(antes de resolver seus efeitos)</i>.
Você ou o Investigador que está realizando o teste pode comprometer uma carta a este Teste de Perícia, ou devolver à sua mão uma carta que tenha Comprometido a este teste.",/data/source/def.json
07160,traits,Paradox. Blessed. Cursed.,Paradoxo. Abençoado. Amaldiçoado.,/data/source/def.json
07161,name,Third Time's a Charm,A Terceira é a Vencida,/data/source/def.json
07161,text,"Fast. Play when a skill test at your location begins.
Twice during this test, when an investigator reveals a chaos token, they may cancel it, return it to the chaos bag, and reveal a new chaos token.","Rápido. Jogue quando um Teste de Perícia na sua Localidade começar.
Duas vezes durante este Teste, quando um Investigador revelar uma Ficha de Caos, esse Investigador pode cancelá-la, devolvê-la ao Saco do Caos e revelar uma nova Ficha de Caos.",/data/source/def.json
07161,traits,Spirit.,Espírito.,/data/source/def.json
07162,name,Manipulate Destiny,Manipular o Destino,/data/source/def.json
07162,text,"Reveal tokens from the chaos bag until you reveal a [curse], [auto_fail], [bless], or [elder_sign] token. If you revealed...
- ...a [curse] or [auto_fail] token, deal 2 damage to an enemy at your location.
- ...a [bless] or [elder_sign] token, heal 2 damage from an investigator or [[Ally]] asset at your location.
This action does not provoke attacks of opportunity.","Revele fichas do Saco do Caos até revelar uma ficha [curse], [auto_fail], [bless] ou [elder_sign]. Se você revelou...
- ...uma ficha [curse] ou [auto_fail], cause 2 de dano a um Inimigo na sua Localidade.
- ...uma ficha [bless] ou [elder_sign], cure 2 de dano de um Investigador ou de um Apoio [[Aliado]] na sua Localidade.
Esta ação não provoca ataques de oportunidade.",/data/source/def.json
07162,traits,Spell.,Feitiço.,/data/source/def.json
